Month_Year,Product,Production,Detail,Actual,Standard
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Hop,0,0
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Additive,0,0
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Syrup,0,0
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),RM Oth-Water,0,0
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),RM Oth-WT&CO2,0,0
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Fuel,0.1541,0.1336
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Power&Utilities,0.1786,0.2462
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Chemicals-Lab,0.0018,0.0019
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Chemicals-CIP,0.0243,0.0230
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Chemicals-Filling,0.1078,0.0877
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Chemicals-WWT,0.0006,0.0007
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Lid,0,0
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Can,0,0
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Tray,0,0
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Partition,0.4571,0.4912
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Carton,1.3573,1.4826
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Label,1.5870,1.5794
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Bottle,10.3920,10.2420
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Crown,0.6248,0.6485
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Cluster Pack,0,0
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Packaging-Other,0.1968,0.1176
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Miscellaneous,0.0500,0.0499
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Repair&Maintenance,0.1966,0.3889
FEB_2024,Singha 5.0%,BEER BT 330ml (Export),Overtime,0.1168,0.1568
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Malt,0,0
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Hop,0,0
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Additive,0,0
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Syrup,0,0
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),RM Oth-Water,0,0
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),RM Oth-WT&CO2,0,0
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Fuel,0.1541,0.1336
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Power&Utilities,0.1786,0.2462
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Chemicals-Lab,0.0018,0.0019
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Chemicals-CIP,0.0243,0.0230
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Chemicals-Filling,0.1078,0.0877
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Chemicals-WWT,0.0006,0.0007
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Lid,0,0
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Can,0,0
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Tray,0,0
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Partition,0.6406,0.6867
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Carton,1.6551,1.6530
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Label,1.6338,1.6321
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Bottle,10.7100,10.5620
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Crown,0.6444,0.6688
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Cluster Pack,0,0
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Packaging-Other,0.1475,0.1177
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Miscellaneous,0.0500,0.0499
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Repair&Maintenance,0.1966,0.3889
FEB_2024,Singha 5.0%,BEER BT 320ml (Export),Overtime,0.1168,0.1568
FEB_2024,Singha 5.0%,BEER CN 490ml (Export),Malt,0,0
FEB_2024,Singha 5.0%,BEER CN 490ml (Export),Hop,0,0
FEB_2024,Singha 5.0%,BEER CN 490ml (Export),Additive,0,0
FEB_2024,Singha 5.0%,BEER CN 490ml (Export),Syrup,0,0
FEB_2024,Singha 5.0%,BEER CN 490ml (Export),RM Oth-Water,0,0
FEB_2024,Singha 5.0%,BEER CN 490ml (Export),RM Oth-WT&CO2,0,0
FEB_2024,Singha 5.0%,BEER CN 490ml (Export),Fuel,0.1648,0.1334
FEB_2024,Singha 5.0%,BEER CN 490ml (Export),Power&Utilities,0.1080,0.1548
FEB_2024,Singha 5.0%,BEER CN 490ml (Export),Chemicals-Lab,0.0018,0.0019
FEB_2024,Singha 5.0%,BEER CN 490ml (Export),Chemicals-CIP,0.0206,0.0191
FEB_2024,Singha 5.0%,BEER CN 490ml (Export),Chemicals-Filling,0.0760,0.0237
FEB_2024,Singha 5.0%,BEER CN 490ml (Export),Chemicals-WWT,0.0006,0.0007
FEB_2024,Singha 5.0%,BEER CN 490ml (Export),Lid,1.6447,1.6641
FEB_2024,Singha 5.0%,BEER CN 490ml (Export),Can,7.1350,7.3731
FEB_2024,Singha 5.0%,BEER CN 490ml (Export),Tray,0.3198,0.3604
FEB_2024,Singha 5.0%,BEER CN 490ml (Export),Partition,0,0
FEB_2024,Singha 5.0%,BEER CN 490ml (Export),Carton,0,0
FEB_2024,Singha 5.0%,BEER CN 490ml (Export),Label,0,0
FEB_2024,Singha 5.0%,BEER CN 490ml (Export),Bottle,0,0
FEB_2024,Singha 5.0%,BEER CN 490ml (Export),Crown,0,0
FEB_2024,Singha 5.0%,BEER CN 490ml (Export),Cluster Pack,0,0
FEB_2024,Singha 5.0%,BEER CN 490ml (Export),Packaging-Other,0.1771,0.2030
FEB_2024,Singha 5.0%,BEER CN 490ml (Export),Miscellaneous,0.0248,0.0392
FEB_2024,Singha 5.0%,BEER CN 490ml (Export),Repair&Maintenance,0.0740,0.2993
FEB_2024,Singha 5.0%,BEER CN 490ml (Export),Overtime,0.1616,0.1126
